state_name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Montana,2557124.7860403936,2878523.884147225,1504550.3833131513,2032156.8035592218,1450722.452093389,942028.5212715537,3068554.0881743054,2963190.0864824466,2881649.962265761,3311853.8890092904,2745502.1954207798,5061123.120371546,430716.2195592314,1902519.1491829194,2114698.895406609,1517480.6585204902,1493450.1965557972,2330769.9392170906,2449588.639056594,3192366.1058487883,2884809.453687885,3146930.1235256577,2154491.924501202,1345207.8372738564,2403834.173498094,1795926.7920983864,0,1238663.0533467582,1140094.0230652923,3102374.045746199,2999407.029610892,1414877.2196189954,2925683.1116177873,2878908.125081079,866570.0685815783,2366564.531870839,1712610.4155999853,936479.3949614087,2786791.280061215,3165531.661877494,2881145.445551702,974997.6259242534,2376656.3413676913,2106412.832001974,708705.2008672009,2967470.0096995975,2877366.470583831,807119.8973774707,2594620.691441773,1750088.78250619,563389.5278947611
Nebraska,1321067.2532851265,4050942.749912781,1526164.7484025592,824733.6964504507,2008302.1531512495,673826.0450932051,2059934.948242807,1875387.3691170835,1768512.1978103735,2077164.9183120667,1507964.9703814732,6006946.996184931,1458540.9909735047,768182.7126378609,960081.0271690083,386115.9812017913,315008.58033785596,1126194.328452858,1285895.7040444731,2300727.92193531,1779887.859294637,2173019.771597442,1128485.6301490471,551602.3810547501,1189185.4382045316,558236.505683154,1238663.0533467582,0,1698247.507038535,2158042.916432133,1948830.3842774322,1054617.1399020096,1906539.558765084,1679816.8121919765,709158.1565611847,1254405.9030797244,625695.0157172056,2067933.5581659882,1715858.2734804812,2174741.328368354,1657526.1710323733,345723.3506087141,1142248.505548788,1132594.331768531,1203052.4810978577,2048093.5378896708,1726848.847823649,2021414.8973397468,1444885.262328262,759831.6467512647,793013.8996916742
Nevada,2762228.6348915044,3440458.738029242,655017.5865885766,2198171.032860852,332933.5414217512,1031272.1583625077,3757807.8037152165,3568261.3560253847,3455771.3310268237,3440869.6657376937,3017239.931863222,4317478.700000187,754698.7711586128,2464840.433927549,2647711.403735028,2081961.767803957,1766300.4441248216,2768749.1931725214,2444022.9773360845,3981088.214569533,3469509.116062957,3868382.1521965233,2822628.6073495112,2103388.0223741205,2526245.463705441,2162875.340692601,1140094.0230652923,1698247.507038535,0,3848849.8045154596,3646363.6400402826,1000956.5328943073,3604571.679183949,3305361.915912262,1785786.0377662254,2948556.336210652,1788408.2384895491,930483.6738946262,3412492.903052575,3871786.004188119,3232710.747115427,1656506.8935534107,2707313.0535561997,1915853.8186209986,538843.6176153962,3732671.5216395617,3397688.3495244705,1155042.1192732197,3122545.919456671,2434898.363694081,1010112.8657557794
New Hampshire,1750095.8626929496,5265726.058565448,3649278.839464899,2022024.2510861363,4164614.8287492692,2831833.162291784,220264.30284060084,537657.633151555,664221.272036558,1938116.6766201323,1545360.7718325655,8124458.994192038,3464401.218507804,1413208.4438679803,1275571.2383199306,1771926.9353701114,2177883.412369101,1307972.7673510232,2244494.7249080623,201345.74290571446,630830.1673918844,100183.4849953992,1029786.7228993925,1781321.0015439712,1976275.7348893546,1809362.8528576596,3102374.045746199,2158042.916432133,3848849.8045154596,0,388179.1544087251,3136216.91539393,322982.0073754444,1100460.1887158782,2236109.5016035605,977090.8470943855,2334798.970072108,4037383.2937721065,562854.2218798061,157665.9516507254,1310026.5890878416,2217436.854802013,1522548.039320287,2660391.019791099,3331688.996505793,145190.10896500997,827351.7245061407,3888120.2346111163,937491.6822435547,1415331.5030472714,2874114.8347283117
New Jersey,1378316.3093492696,5346356.664996159,3391108.231800556,1697573.3526016828,3951419.64632787,2616917.61180426,172688.19526515325,149645.58655524583,281560.3003830927,1555151.49727164,1162454.045830228,7953658.257244606,3330917.1732236166,1181551.0972468015,1008320.4942451088,1568999.2853463495,1920232.2795271033,979547.0883304236,1880381.3870499425,588688.6904337103,249499.58242565725,324032.7471721748,848759.6130960362,1654587.5882608097,1615328.4342213268,1533031.570631083,2999407.029610892,1948830.3842774322,3646363.6400402826,388179.1544087251,0,2869436.270317227,122795.37340628552,712873.8771209863,2146254.3690357576,702013.0377534603,2039503.8967335012,3922616.850828825,236208.79063787876,288336.1569888903,922354.4905484809,2063958.8436879313,1172646.5228764103,2324612.773164548,3147221.180780445,420621.30161253293,441065.0381929327,3801174.9149436913,592694.3056595376,1255607.3911349683,2706700.055076872
New Mexico,1808406.7308702562,4204892.962618554,526311.1614303227,1262903.71643114,1207079.885984411,548183.3490226809,3005416.252807236,2767341.5071546896,2641086.3308839714,2452820.6457416336,2076212.3476263885,5212645.625198673,1299833.8502677716,1725735.2182099083,1866490.8824645234,1410729.9658067494,958548.2696812003,1918134.8341148002,1450079.2911754728,3297595.7793061235,2660714.2630998236,3134888.5885193367,2121100.5571819395,1593706.9067551151,1556804.6564881804,1336436.6246241003,1414877.2196189954,1054617.1399020096,1000956.5328943073,3136216.91539393,2869436.270317227,0,2852592.9772635326,2417048.5693033743,1529310.8332089058,2172406.5769610316,858965.9756802785,1786952.322664544,2633807.451062982,3126503.5115039004,2314063.2474542754,1220953.8346148652,1806143.9170762086,915090.1921672575,819301.6963255339,3041761.853447917,2554071.171167364,1903843.3432204411,2299041.9296715516,1795921.2947260079,894188.8328385751
New York,1427376.0283460235,5236762.835170485,3371002.3366681,1709312.7649941405,3913818.7460927432,2578332.374310475,153895.0152251138,244038.77250337915,351862.22253184725,1651843.5771401236,1227048.5636900568,7903489.583546645,3266290.654753352,1144530.4183349388,986111.9824880103,1522906.7779065429,1897644.5935092457,992115.0723959135,1921667.2854916744,522256.1013498516,318070.53815345635,288314.3483923522,788397.3779582265,1583795.8157744084,1653678.8231097911,1517993.4344888614,2925683.1116177873,1906539.558765084,3604571.679183949,322982.0073754444,122795.37340628552,2852592.9772635326,0,791582.5626765828,2067199.299257277,680590.4521573848,2035268.0281040266,3853298.650887471,240707.8498569956,273934.9557892753,1000459.3741780163,2002864.7907803622,1201398.516282362,2344295.162983668,3098528.780768351,319782.24402016314,517290.86585971055,3724257.8148426004,615946.9660558117,1192509.1219749516,2651614.412960711
North Carolina,713147.8033427952,5499221.011134448,2942227.1997494167,1161918.8755470004,3581490.050867692,2288014.584706906,884753.7081697298,563244.2694502902,439726.716560022,882365.2024337585,462884.4234875772,7613197.815812573,3137267.338447627,985931.1855016067,773942.343968639,1361431.2478601844,1540854.034236418,553721.6986160872,1223274.1745711013,1301414.7688102205,473523.23213829263,1034433.7215477151,893333.137635522,1596908.0630165734,975753.6119186312,1149103.1457927076,2878908.125081079,1679816.8121919765,3305361.915912262,1100460.1887158782,712873.8771209863,2417048.5693033743,791582.5626765828,0,2105489.0021159383,610370.1108458791,1558102.0697674425,3746295.2357950676,585830.5378829585,992084.3471762781,209574.88324574602,1903979.205330349,611058.3465462229,1729514.3756814424,2858649.8438284616,1110112.5509762878,274363.5690278845,3681417.070377509,367491.01977291383,1205191.302967072,2472720.0368523328
North Dakota,1929550.0372322956,3432096.27554534,1873043.4147743345,1503731.4124798898,2118715.0113965846,993857.7890325667,2207437.1617106576,2120600.9417613707,2049741.2060267145,2674557.5791053497,2061143.0605182843,5917249.907365766,1248693.405799847,1121705.9039940666,1331948.4430677227,791337.4312571852,1023861.6963113141,1582866.6395349118,1978773.5057329675,2326584.3796844627,2049531.9170406978,2281982.447618597,1311536.074222117,511669.04464072327,1848828.3691437843,1162940.995115575,866570.0685815783,709158.1565611847,1785786.0377662254,2236109.5016035605,2146254.3690357576,1529310.8332089058,2067199.299257277,2105489.0021159383,0,1547204.0376149502,1332863.131462477,1802680.2999776567,1941645.0786159523,2301882.513368894,2144370.8471741136,370262.3381067623,1687651.3193952383,1833085.0729363877,1248998.7824342453,2100911.648749272,2064355.451680776,1657378.5198492946,1788207.3192523648,918785.0150117084,788836.2920536328
Ohio,910882.8248190101,4901711.748159098,2691957.5109920604,1054939.5919259596,3251018.6976434314,1917836.9847303901,833048.8460217011,620995.3204281086,519734.9520502004,1414718.1394733074,819789.7162920332,7261217.440284067,2669304.6322042993,487022.3804869036,306779.8791531439,882666.6929515328,1219393.1416443663,373129.53057773894,1345009.9646864638,1156169.9730968042,527819.8712623499,965486.6843643297,283184.6167953549,1036222.0049771323,1076660.1743088942,837412.5670361931,2366564.531870839,1254405.9030797244,2948556.336210652,977090.8470943855,702013.0377534603,2172406.5769610316,680590.4521573848,610370.1108458791,1547204.0376149502,0,1358074.0048803035,3270689.893578295,466050.0520794035,954499.1691136826,733343.4973212183,1403418.2904803967,618937.7985061143,1698442.484730725,2456846.2989421063,904886.4575755168,517263.03789950674,3173647.586138456,250503.03854324768,628634.9680951056,2027550.9521532946
